,Glacier ID,Latitude,Longitude,Glacier Form,Mean Elevation,Minimum Elevation,Maximum Elevation,Glacier Area,Mean Width,Mean Length,Maximum Length,Average_temp,Topographic Map Year
4508,AR1L73100001,-41.168,-71.617,8.0,2050.0,1925.0,2100.0,0.11,0.7,0.2,0.3,15.364583333333334,1944.0
4509,AR1L73100002,-41.171,-71.807,3.0,2000.0,1460.0,2550.0,7.29,1.1,2.8,2.8,15.364583333333334,1944.0
4510,AR1L73100003,-41.183,-71.59,4.0,1925.0,1800.0,2025.0,0.26,0.7,0.3,0.4,15.364583333333334,1944.0
4511,AR1L73100004,-41.185,-71.603,4.0,2000.0,1850.0,2150.0,0.29,0.4,0.9,1.0,15.364583333333334,1944.0
4512,AR1L73100005,-41.187,-71.607,4.0,2000.0,1850.0,2150.0,0.45,1.1,0.4,0.6,15.364583333333334,1944.0
4513,AR1L73100006,-41.2,-71.605,5.0,2000.0,1850.0,2150.0,0.46,1.6,0.3,0.4,15.364583333333334,1944.0
4514,AR1L73100007,-41.187,-71.82,3.0,2000.0,1115.0,2500.0,8.01,1.5,3.5,3.7,15.364583333333334,1944.0
4515,AR1L73100008,-41.186,-71.84,3.0,2200.0,1700.0,2700.0,1.99,0.9,1.8,2.1,15.364583333333334,1944.0
4516,AR1L73100009,-41.186,-71.837,3.0,1875.0,1775.0,2025.0,0.37,0.3,1.6,1.8,15.364583333333334,1944.0
4517,AR1L73100010,-41.186,-71.838,3.0,2000.0,1775.0,2175.0,0.88,0.5,2.2,2.7,15.364583333333334,1944.0
4518,AR1L73100011,-41.187,-71.833,7.0,1650.0,1600.0,1725.0,0.03,0.2,0.1,0.1,15.364583333333334,1944.0
4519,AR1L73100012,-41.19,-71.854,3.0,2100.0,951.0,3500.0,19.06,0.8,7.8,8.0,15.364583333333334,1944.0
4520,AR1L73100013,-41.202,-71.667,5.0,2000.0,1900.0,2100.0,0.25,1.0,0.2,0.3,15.364583333333334,1944.0
4521,AR1L73100014,-41.208,-71.667,5.0,2050.0,1800.0,2200.0,0.34,1.3,0.3,0.4,15.364583333333334,1944.0
4522,AR1L73100015,-41.208,-71.667,4.0,2025.0,1950.0,2100.0,0.05,0.8,0.1,0.1,15.364583333333334,1944.0
4523,AR1L73100016,-41.217,-71.668,4.0,1980.0,1840.0,2120.0,0.16,0.9,0.2,0.6,15.35125,1977.0
4524,AR1L73100017,-41.205,-71.867,4.0,1775.0,1625.0,1950.0,0.6,1.2,0.6,0.7,15.364583333333334,1944.0
4525,AR1L73100018,-41.207,-71.867,4.0,1875.0,1825.0,1980.0,0.22,1.0,0.2,0.3,15.364583333333334,1944.0
4526,AR1L73100019,-41.217,-71.692,5.0,1950.0,1880.0,2020.0,0.43,1.3,0.3,0.4,15.364583333333334,1944.0
4527,AR1L73100020,-41.208,-71.703,4.0,1900.0,1820.0,1980.0,0.11,0.7,0.1,0.2,15.364583333333334,1944.0
4528,AR1L73100021,-41.207,-71.705,4.0,1860.0,1800.0,1920.0,0.11,0.6,0.2,0.3,15.364583333333334,1944.0
4529,AR1L73100022,-41.202,-71.707,4.0,2000.0,1700.0,2150.0,0.61,1.3,0.6,1.0,15.364583333333334,1944.0
4530,AR1L73100023,-41.203,-71.719,5.0,1980.0,1850.0,2120.0,0.13,0.5,0.2,0.3,15.364583333333334,1944.0
4531,AR1L73100024,-41.638,-71.707,3.0,1900.0,1650.0,2250.0,1.35,0.9,1.3,1.7,14.021416666666669,1956.0
4532,AR1L73200025,-41.9,-71.683,5.0,1900.0,1660.0,2175.0,0.4,0.4,0.9,1.1,14.021416666666669,1956.0
4533,AR1L73200026,-41.9,-71.675,5.0,1900.0,1850.0,1950.0,0.01,0.1,0.1,0.1,14.021416666666669,1956.0
4534,AR1L73200028,-41.903,-71.685,3.0,1900.0,1688.0,2220.0,1.28,0.6,2.1,2.4,14.021416666666669,1956.0
4535,AR1L73200029,-41.954,-71.658,8.0,2000.0,1810.0,2100.0,0.07,0.7,0.1,0.1,14.491416666666666,1954.0
4536,AR1L73200030,-41.958,-71.64,8.0,1720.0,1650.0,1750.0,0.04,0.4,0.1,0.1,14.491416666666666,1954.0
4537,AR1L73200032,-41.968,-71.675,5.0,1950.0,1800.0,2100.0,0.38,0.7,0.5,0.6,14.491416666666666,1954.0
4538,AR1L73200033,-41.937,-71.69,4.0,1850.0,1615.0,2015.0,0.43,1.1,0.3,0.5,14.021416666666669,1956.0
4539,AR1L73200034,-41.935,-71.701,4.0,1750.0,1625.0,1950.0,0.47,0.5,0.8,1.0,14.021416666666669,1956.0
4540,AR1L73200035,-41.936,-71.701,8.0,1750.0,1575.0,1975.0,0.12,0.2,0.5,0.6,14.021416666666669,1956.0
4541,AR1L73200036,-41.937,-71.702,4.0,1900.0,1650.0,2125.0,0.48,1.0,0.3,0.8,14.021416666666669,1956.0
4542,AR1L73200037,-41.951,-71.701,4.0,1920.0,1725.0,2150.0,0.68,1.6,0.4,0.6,14.021416666666669,1956.0
4543,AR1L73200038,-41.95,-71.703,5.0,1900.0,1800.0,2000.0,0.03,0.2,0.1,0.2,14.021416666666669,1956.0
4544,AR1L73200039,-41.95,-71.702,4.0,2080.0,1750.0,2185.0,0.13,0.3,0.4,0.5,14.021416666666669,1956.0
4545,AR1L73200040,-41.951,-71.703,4.0,1975.0,1750.0,2150.0,0.06,0.2,0.3,0.3,14.021416666666669,1956.0
4546,AR1L73200041,-42.156,-72.033,3.0,1800.0,800.0,2420.0,6.3,1.2,5.0,5.5,14.491416666666666,1954.0
4547,AR1L73200042,-42.173,-71.87,4.0,1800.0,1600.0,2080.0,0.32,0.6,0.4,0.6,14.491416666666666,1954.0
4548,AR1L73200043,-42.173,-71.875,9.0,1400.0,1300.0,1500.0,0.04,0.2,0.2,0.2,14.491416666666666,1954.0
4549,AR1L73200044,-42.35,-71.752,8.0,1800.0,1640.0,2035.0,0.33,0.6,0.5,0.6,14.491416666666666,1954.0
4550,AR1L73200045,-42.35,-71.742,5.0,2000.0,1750.0,2150.0,0.07,0.3,0.2,0.3,14.491416666666666,1954.0
4551,AR1L73200046,-42.367,-71.75,5.0,1900.0,1750.0,2050.0,0.09,0.2,0.4,0.5,14.491416666666666,1954.0
4552,AR1L73200047,-42.367,-71.74,5.0,1950.0,1700.0,2200.0,0.16,0.2,0.7,0.9,14.491416666666666,1954.0
4553,AR1L73200048,-42.367,-71.737,4.0,2000.0,1700.0,2350.0,0.26,0.4,0.6,0.7,14.491416666666666,1954.0
4554,AR1L73200049,-42.367,-71.738,8.0,1550.0,1450.0,1650.0,0.06,0.2,0.3,0.3,14.491416666666666,1954.0
7718,BT5O207BA010,28.007,90.82,5.0,5130.0,4950.0,5310.0,0.3,0.4,0.6,0.7,12.045,1982.0
7719,BT5O207BA011,28.01,90.813,5.0,5200.0,5000.0,5400.0,0.18,0.3,0.6,0.7,12.045,1982.0
7720,BT5O207BA012,28.033,90.783,3.0,5510.0,4880.0,6140.0,12.14,1.6,10.5,10.7,12.045,1982.0
7721,BT5O207BA013,28.025,90.841,4.0,5407.0,4950.0,5864.0,3.7,1.0,3.7,3.8,12.045,1982.0
7722,BT5O207BA014,28.032,90.854,5.0,5349.0,5080.0,5618.0,0.22,0.4,0.5,0.7,12.045,1982.0
7723,BT5O207BA015,28.042,90.863,3.0,5249.0,4570.0,5928.0,5.22,0.9,5.4,5.5,12.045,1982.0
7724,BT5O207BA016,28.042,90.872,5.0,5253.0,4920.0,5586.0,1.18,0.9,1.4,1.5,12.045,1982.0
7725,BT5O207BA017,28.033,90.878,5.0,5145.0,5020.0,5270.0,0.1,0.2,0.5,0.7,12.045,1982.0
7726,BT5O207BA018,28.037,90.883,4.0,5258.0,4930.0,5586.0,0.7,0.4,1.6,1.8,12.045,1982.0
7727,BT5O207BA019,28.037,90.894,5.0,5270.0,5120.0,5420.0,0.18,0.4,0.5,0.6,12.045,1982.0
7728,BT5O207BA020,28.025,90.912,5.0,5275.0,5180.0,5370.0,0.1,0.3,0.4,0.5,12.045,1982.0
7729,BT5O207BA021,28.029,90.922,5.0,5379.0,5200.0,5558.0,0.32,0.8,0.4,0.5,12.045,1982.0
7730,BT5O207BA022,28.039,90.926,5.0,5224.0,4890.0,5558.0,1.22,1.1,1.1,1.2,12.045,1982.0
7745,BT5O207BD001,28.064,91.224,9.0,4900.0,4880.0,5230.0,0.06,0.2,0.4,0.4,11.73975,1983.0
7746,BT5O207BD002,28.064,91.228,9.0,5055.0,4850.0,5020.0,0.04,0.2,0.2,0.2,11.73975,1983.0
7747,BT5O207BD003,28.064,91.232,5.0,4935.0,4800.0,5231.0,0.15,0.3,0.5,0.6,11.73975,1983.0
7748,BT5O207BD004,28.06,91.246,5.0,5016.0,4600.0,5367.0,0.38,0.4,0.8,1.0,11.73975,1983.0
7749,BT5O207BD005,28.039,91.243,9.0,4984.0,4918.0,5140.0,0.13,0.3,0.4,0.4,11.73975,1983.0
7750,BT5O207BD006,28.041,91.245,5.0,5029.0,4750.0,5154.0,0.23,0.5,0.5,0.5,11.73975,1983.0
7751,BT5O207BD007,28.054,91.25,5.0,4952.0,4850.0,5020.0,0.15,0.2,0.8,0.8,11.73975,1983.0
7752,BT5O207BD008,28.057,91.248,9.0,4935.0,5000.0,5210.0,0.03,0.1,0.3,0.3,11.73975,1983.0
7753,BT5O207BD009,28.061,91.25,5.0,5105.0,4940.0,5367.0,0.35,0.4,0.8,0.9,11.73975,1983.0
7754,BT5O207BD010,28.064,91.255,5.0,5154.0,4970.0,5240.0,0.18,0.3,0.5,0.6,11.73975,1983.0
7755,BT5O207BD011,28.058,91.307,5.0,5105.0,5080.0,5535.0,0.33,0.3,1.0,1.0,11.73975,1983.0
7756,BT5O207BD012,28.038,91.302,5.0,5308.0,4800.0,5466.0,3.0,1.2,2.5,2.6,11.73975,1983.0
7757,BT5O207BD013,28.033,91.288,5.0,5133.0,4620.0,5640.0,1.32,0.9,1.3,1.4,11.73975,1983.0
7758,BT5O207BD014,28.026,91.282,5.0,5130.0,4550.0,5473.0,0.4,0.3,1.4,1.4,11.73975,1983.0
7759,BT5O207BD015,28.02,91.28,5.0,5012.0,4700.0,5288.0,0.25,0.3,0.8,0.9,11.73975,1983.0
7760,BT5O207BD016,28.017,91.272,5.0,4994.0,4780.0,5355.0,0.51,0.6,0.7,0.8,11.73975,1983.0
7761,BT5O207BD017,28.02,91.263,5.0,5068.0,4600.0,5184.0,0.25,0.3,0.7,0.8,11.73975,1983.0
7762,BT5O207BD018,28.012,91.268,5.0,4892.0,4830.0,5220.0,0.23,0.3,0.6,0.8,11.73975,1983.0
7763,BT5O207BD019,28.006,91.273,5.0,5025.0,4900.0,5355.0,0.47,0.6,0.7,0.8,11.73975,1983.0
7764,BT5O207BD020,28.0,91.272,5.0,5128.0,4870.0,5206.0,0.15,0.4,0.3,0.4,11.73975,1983.0
7765,BT5O207BD021,27.987,91.259,5.0,5038.0,4510.0,5470.0,3.08,1.0,2.3,3.2,11.73975,1983.0
7766,BT5O207BD022,28.0,91.254,5.0,4990.0,4820.0,5060.0,0.05,0.2,0.3,0.3,11.73975,1983.0
7767,BT5O207BD023,28.005,91.253,5.0,4940.0,4420.0,5060.0,0.48,0.5,0.8,0.9,11.73975,1983.0
7768,BT5O207BD024,28.0,91.25,5.0,4740.0,4660.0,5070.0,0.1,0.2,0.4,0.4,11.73975,1983.0
7769,BT5O207BD025,27.987,91.25,5.0,4865.0,4640.0,5160.0,0.48,0.4,0.9,1.2,11.73975,1983.0
7770,BT5O207BD026,27.978,91.243,5.0,4900.0,4860.0,5352.0,0.25,0.4,0.5,0.6,11.73975,1983.0
7831,BT5O240A0001,28.275,90.317,5.0,6044.0,5892.0,6197.0,0.66,0.3,2.0,2.0,12.045,1982.0
7832,BT5O240A0002,28.275,90.305,4.0,6128.0,5762.0,6494.0,3.1,1.5,2.0,2.1,12.045,1982.0
7833,BT5O240A0003,28.277,90.295,5.0,6041.0,5939.0,6142.0,0.13,0.3,0.5,0.6,12.045,1982.0
7834,BT5O240A0004,28.265,90.297,4.0,6167.0,5839.0,6494.0,0.86,0.5,2.5,2.8,12.045,1982.0
7835,BT5O240A0005,28.267,90.295,3.0,6233.0,5818.0,6648.0,4.13,2.2,4.0,4.3,12.045,1982.0
7836,BT5O240A0006,28.241,90.296,3.0,6272.0,5730.0,6814.0,2.85,1.2,3.6,4.1,12.045,1982.0
7837,BT5O240A0007,28.242,90.275,5.0,6131.0,5956.0,6305.0,0.33,0.6,1.1,1.2,12.045,1982.0
7838,BT5O240A0008,28.234,90.276,5.0,6242.0,6060.0,6423.0,0.48,0.8,2.0,2.2,12.045,1982.0
7839,BT5O240A0009,28.229,90.305,3.0,6297.0,5780.0,6814.0,2.77,0.8,4.0,4.8,12.045,1982.0
7840,BT5O240A0010,28.211,90.3,2.0,6188.0,5515.0,6861.0,10.87,1.5,5.3,6.5,12.045,1982.0
7841,BT5O240A0011,28.092,90.133,3.0,6194.0,5340.0,7047.0,86.16,8.8,14.3,19.5,12.045,1982.0
7842,BT5O240A0012,28.212,90.177,4.0,6254.0,5460.0,7047.0,20.6,2.5,8.0,9.2,12.045,1982.0
7843,BT5O251B0044,28.192,90.127,2.0,6170.0,5140.0,7204.0,43.4,7.0,7.6,8.5,11.73975,1983.0
7844,BT5O251B0045,28.185,90.083,4.0,6100.0,5600.0,6594.0,1.05,0.3,1.9,2.0,11.73975,1983.0
7845,BT5O251B0046,28.183,90.072,4.0,6220.0,5560.0,6889.0,4.5,0.4,6.0,6.0,11.73975,1983.0
7846,BT5O251B0047,28.23,90.077,5.0,5750.0,5620.0,5880.0,0.3,0.5,1.1,1.1,11.73975,1983.0
7847,BT5O251B0048,28.183,90.033,2.0,6010.0,5149.0,6876.0,43.0,2.1,13.1,15.6,11.73975,1983.0
7848,BT5O251B0049,28.2,90.0,2.0,5900.0,5090.0,6705.0,14.91,1.1,9.8,12.3,11.73975,1983.0
7849,BT5O251B0050,28.212,89.988,5.0,6183.0,6020.0,6345.0,0.13,0.3,0.5,0.5,11.73975,1983.0
7850,BT5O251B0051,28.216,89.991,5.0,6145.0,5940.0,6350.0,0.08,0.2,0.6,0.6,11.73975,1983.0
7851,BT5O251B0052,28.2,89.967,3.0,6269.0,5330.0,7207.0,9.78,1.4,7.3,7.3,11.73975,1983.0
7852,BT5O251B0053,28.213,89.952,3.0,6075.0,5490.0,6660.0,3.38,0.8,4.5,4.5,11.73975,1983.0
7853,BT5O251B0054,28.221,89.942,3.0,6028.0,5495.0,6561.0,1.55,0.5,1.8,3.2,11.73975,1983.0
7854,BT5O251B0055,28.233,89.936,5.0,5970.0,5870.0,6070.0,0.1,0.3,0.4,0.5,11.73975,1983.0
7855,BT5O251B0056,28.223,89.928,3.0,6133.0,5600.0,6666.0,1.93,0.6,3.3,3.4,11.73975,1983.0
22371,CA2S011C0010,77.072,-82.133,0.0,541.0,513.0,579.0,0.11,0.3,0.5,0.5,-5.2820833333333335,1967.0
22372,CA2S011C0020,77.063,-82.162,0.0,551.0,512.0,609.0,0.09,0.2,0.5,0.5,-5.2820833333333335,1967.0
22373,CA2S011C0030,77.053,-82.187,0.0,599.0,543.0,646.0,0.16,0.2,0.8,0.8,-5.2820833333333335,1967.0
22374,CA2S011C0040,77.048,-82.23,0.0,425.0,305.0,472.0,0.26,0.4,0.9,0.9,-5.2820833333333335,1967.0
22375,CA2S011C0050,77.037,-82.275,0.0,372.0,331.0,452.0,0.07,0.2,0.2,0.2,-5.2820833333333335,1967.0
